rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
70,1.51214,0.027000000000000003,2415.4,12.22,7.3,1,0,1,-5.536037,6035.0,4.35,0.119,1.13,1.21,0.05,0,4.2,0.9828876977310849,0.9738461800983427,0
71,5.35227,0.0618,170.032,13.11,0.44,1,0,1,-6.002595,5650.0,4.36,-0.435,1.1,1.19,0.19,1,6.73,0.837107639405073,0.9064360293175956,0
72,3.7681,0.0461,772.29,11.43,2.82,1,0,1,-6.612234,5740.0,4.4,0.134,1.04,1.59,0.0,0,10.7,0.9545938878293229,0.9104273456749737,0
73,1.9000693,0.0295,1102.82,14.68,2.2,1,0,1,-0.031586,5440.0,4.4,-0.226,0.95,1.0,-0.1,0,0.6,0.973635908499825,0.9457135697428262,0
74,3.89713,0.0518,352.78,14.46,0.71,1,0,1,-0.170681,6090.0,4.07,0.544,1.21,1.65,-0.02,0,5.0,0.9761772873399408,0.9624723708010454,0
75,1.7429935,0.02798,1102.82,16.432000000000002,1.47,1,0,2,1.383714,5625.0,4.53,-0.321,0.96,0.91,-0.03,0,2.7,0.9626252427256846,0.9142739921753266,0
76,9.24285,0.09,1366.6689999999999,9.416,8.87,1,0,1,0.226919,4947.5,4.2,0.006,1.14,1.37,0.14,0,0.1,0.9676753009781236,0.9348205075020173,0
77,1675.0,2.9,5403.11,12.2,16.4,0,0,1,0.226919,4947.5,4.2,0.006,1.14,1.37,0.14,0,0.1,0.7884502297245832,0.8731665627127508,1
78,2.72474,0.0417,718.2958,14.572,1.36,1,0,1,-0.29913,6200.0,3.7,0.705,1.29,1.95,0.0,0,4.1,0.9662973457302104,0.9495727008705793,0
79,9.755980000000001,0.092,12.2,4.88,0.249,1,0,1,6.219136,5939.0,4.36,0.014,1.1,1.14,0.17,0,3.3,0.9855210065214447,0.9777483626838827,0
