"rowid","fpl_hostname","fpl_name","fpl_disc","fpl_orbper","fpl_rads","fst_dist","fst_logg","cluster","simil"
"1354","Kepler-100","Kepler-100 d","2014","35.3331","0.015","307.34","4.12","0","0.9791064666114152"
"1355","Kepler-1000","Kepler-1000 b","2016","120.0181272","0.044000000000000004","925","4.23","0","0.9666986128906687"
"1356","Kepler-1001","Kepler-1001 b","2016","14.30511983","0.028999999999999998","1009","4.52","0","0.987923550899692"
"1357","Kepler-1002","Kepler-1002 b","2016","4.33642933","0.016","425","4.13","0","0.9812065066894057"
"1358","Kepler-1003","Kepler-1003 b","2016","3.55485691","0.016","873","4.35","0","0.9845290024956267"
"1359","Kepler-1004","Kepler-1004 b","2016","5.28789787","0.057999999999999996","1080","3.43","0","0.9511396858685673"
"1360","Kepler-1005","Kepler-1005 b","2016","6.49801525","0.013999999999999999","515","4.38","0","0.9851057904755288"
"1361","Kepler-1006","Kepler-1006 b","2016","19.76172042","0.013999999999999999","496","4.59","0","0.9812496238734454"
"1362","Kepler-1007","Kepler-1007 b","2016","5.18500207","0.013000000000000001","365","4.62","0","0.9902877292059595"
"1363","Kepler-1008","Kepler-1008 b","2016","12.43931193","0.012","299","4.56","0","0.9860278113159437"
"1364","Kepler-1009","Kepler-1009 b","2016","11.35011917","0.02","281","4.7","0","0.9901085492160155"
"1365","Kepler-101","Kepler-101 b","2014","3.4876812","0.053","953.44","4.12","0","0.9727101062293709"
"1366","Kepler-101","Kepler-101 c","2014","6.02976","0.011000000000000001","953.44","4.12","0","0.9732690297850358"
"1367","Kepler-1010","Kepler-1010 b","2016","34.2685705","0.021","610","4.55","0","0.9897718854020514"
"1368","Kepler-1011","Kepler-1011 b","2016","5.75322197","0.026000000000000002","860","4.52","0","0.9880088568248084"
"1369","Kepler-1012","Kepler-1012 b","2016","5.50860439","0.012","420","4.5","0","0.9877890682067273"
"1370","Kepler-1013","Kepler-1013 b","2016","18.93054959","0.02","433","4.59","0","0.9900483095538543"
"1371","Kepler-1014","Kepler-1014 b","2016","16.57110363","0.022000000000000002","672","4.54","0","0.9895038061691006"
"1372","Kepler-1015","Kepler-1015 b","2016","16.00494214","0.033","932","4.09","0","0.9730741570970582"
"1373","Kepler-1016","Kepler-1016 b","2016","1.95452434","0.02","1239","4.44","0","0.9871106135938311"
"1374","Kepler-1016","Kepler-1016 c","2016","105.6551369","0.034","1239","4.44","0","0.9869441343240799"
"1375","Kepler-1017","Kepler-1017 b","2016","7.23400469","0.018000000000000002","554","4.53","0","0.9886841489721031"
"1376","Kepler-1018","Kepler-1018 b","2016","49.1013514","0.024","894","4.52","0","0.98891927349974"
"1377","Kepler-1019","Kepler-1019 b","2016","1.41122985","0.013000000000000001","198","4.64","0","0.989132457704183"
"1378","Kepler-102","Kepler-102 b","2014","5.28696","0.004","108.13","4.58","0","0.9870896421411096"
"1379","Kepler-102","Kepler-102 c","2014","7.07142","0.005","108.13","4.58","0","0.9870924496517555"
"1380","Kepler-102","Kepler-102 d","2014","10.3117","0.011000000000000001","108.13","4.58","0","0.9870905527006512"
"1381","Kepler-102","Kepler-102 e","2013","16.1457","0.02","108.13","4.58","0","0.9870568653494267"
"1382","Kepler-102","Kepler-102 f","2014","27.4536","0.008","108.13","4.58","0","0.9870967848132995"
"1383","Kepler-1020","Kepler-1020 b","2016","96.9151496","0.021","446","4.57","0","0.9889284698504988"
"1384","Kepler-1021","Kepler-1021 b","2016","13.47469571","0.021","837","4.53","0","0.9898855530334968"
"1385","Kepler-1022","Kepler-1022 b","2016","10.99469878","0.022000000000000002","455","4.64","0","0.9888694450663973"
"1386","Kepler-1023","Kepler-1023 b","2016","62.1387714","0.024","686","4.51","0","0.9873840747396005"
"1387","Kepler-1024","Kepler-1024 b","2016","66.4162133","0.036000000000000004","1017","4.57","0","0.9905952783507628"
"1388","Kepler-1025","Kepler-1025 b","2016","37.3229493","0.018000000000000002","716","4.37","0","0.9853849770497591"
